TweetId,UserID,TweetDate
16-131,689,2020-03-01T12:02:21
16-118,878,2020-03-01T12:02:23
14-181,986,2020-03-01T12:02:23
16-175,153,2020-03-01T12:02:25
15-126,602,2020-03-01T12:02:28
15-182,384,2020-03-01T12:02:31
15-139,310,2020-03-01T12:02:33
14-105,486,2020-03-01T12:02:35
16-107,299,2020-03-01T12:02:37
15-101,441,2020-03-01T12:02:40
14-149,335,2020-03-01T12:02:40
14-121,409,2020-03-01T12:02:41
16-167,905,2020-03-01T12:02:42
15-117,874,2020-03-01T12:02:46
15-156,673,2020-03-01T12:02:47
16-152,228,2020-03-01T12:02:50
15-151,449,2020-03-01T12:02:50
16-180,619,2020-03-01T12:02:54
14-166,716,2020-03-01T12:02:58
16-158,847,2020-03-01T12:02:59
15-181,253,2020-03-01T12:03:02
16-166,722,2020-03-01T12:03:06
15-111,511,2020-03-01T12:03:07
16-198,509,2020-03-01T12:03:07
14-120,668,2020-03-01T12:03:08
14-194,304,2020-03-01T12:03:12
15-128,530,2020-03-01T12:03:16
16-124,309,2020-03-01T12:03:17
14-195,517,2020-03-01T12:03:21
15-148,700,2020-03-01T12:03:22
14-153,938,2020-03-01T12:03:22
16-193,959,2020-03-01T12:03:26
16-173,902,2020-03-01T12:03:26
16-191,195,2020-03-01T12:03:26
14-171,320,2020-03-01T12:03:28
14-120,588,2020-03-01T12:03:32
16-131,872,2020-03-01T12:03:34
14-163,702,2020-03-01T12:03:37
16-154,106,2020-03-01T12:03:39
16-138,635,2020-03-01T12:03:42
15-118,778,2020-03-01T12:03:43
14-116,132,2020-03-01T12:03:43
15-159,988,2020-03-01T12:03:47
15-115,866,2020-03-01T12:03:51
14-151,601,2020-03-01T12:03:51
15-193,108,2020-03-01T12:03:51
15-173,102,2020-03-01T12:03:55
16-155,910,2020-03-01T12:03:58
16-119,195,2020-03-01T12:04:00
14-164,939,2020-03-01T12:04:03
14-176,447,2020-03-01T12:04:07
14-170,841,2020-03-01T12:04:07
15-128,107,2020-03-01T12:04:07
15-108,399,2020-03-01T12:04:09
14-159,219,2020-03-01T12:04:13
16-112,992,2020-03-01T12:04:17
14-143,147,2020-03-01T12:04:19
16-185,907,2020-03-01T12:04:19
16-104,202,2020-03-01T12:04:23
16-195,807,2020-03-01T12:04:23
14-110,469,2020-03-01T12:04:23
14-114,243,2020-03-01T12:04:27
16-113,385,2020-03-01T12:04:27
16-127,252,2020-03-01T12:04:27
15-165,745,2020-03-01T12:04:28
15-140,858,2020-03-01T12:04:28
15-113,779,2020-03-01T12:04:30
14-134,868,2020-03-01T12:04:31
15-166,582,2020-03-01T12:04:34
16-149,558,2020-03-01T12:04:38
16-162,364,2020-03-01T12:04:40
15-187,883,2020-03-01T12:04:40
15-196,712,2020-03-01T12:04:44
16-177,319,2020-03-01T12:04:45
14-142,215,2020-03-01T12:04:48
15-119,311,2020-03-01T12:04:51
15-132,578,2020-03-01T12:04:52
15-160,929,2020-03-01T12:04:55
14-115,346,2020-03-01T12:04:57
16-117,608,2020-03-01T12:04:57
16-180,940,2020-03-01T12:04:58
15-110,911,2020-03-01T12:05:02
14-180,518,2020-03-01T12:05:03
15-142,995,2020-03-01T12:05:07
15-125,191,2020-03-01T12:05:10
16-103,880,2020-03-01T12:05:13
14-112,636,2020-03-01T12:05:14
16-156,632,2020-03-01T12:05:15
15-164,231,2020-03-01T12:05:17
16-186,924,2020-03-01T12:05:19
15-197,567,2020-03-01T12:05:19
15-118,618,2020-03-01T12:05:23
14-178,639,2020-03-01T12:05:25
14-114,932,2020-03-01T12:05:25
16-196,873,2020-03-01T12:05:28
16-175,970,2020-03-01T12:05:32
14-120,708,2020-03-01T12:05:34
14-165,796,2020-03-01T12:05:38
16-107,816,2020-03-01T12:05:40
15-118,886,2020-03-01T12:05:41
15-173,807,2020-03-01T12:05:41
14-112,229,2020-03-01T12:05:42
16-108,901,2020-03-01T12:05:44
14-109,599,2020-03-01T12:05:45
14-143,605,2020-03-01T12:05:45
16-186,816,2020-03-01T12:05:48
15-145,692,2020-03-01T12:05:51
16-114,524,2020-03-01T12:05:52
16-158,470,2020-03-01T12:05:55
16-186,991,2020-03-01T12:05:56
16-108,286,2020-03-01T12:05:59
14-116,694,2020-03-01T12:06:03
14-104,543,2020-03-01T12:06:03
16-185,732,2020-03-01T12:06:06
15-140,597,2020-03-01T12:06:06
15-142,106,2020-03-01T12:06:08
15-190,559,2020-03-01T12:06:11
16-102,622,2020-03-01T12:06:12
14-163,801,2020-03-01T12:06:12
15-101,936,2020-03-01T12:06:14
15-154,150,2020-03-01T12:06:16
16-117,346,2020-03-01T12:06:17
14-160,244,2020-03-01T12:06:19
16-117,164,2020-03-01T12:06:19
15-180,588,2020-03-01T12:06:19
16-183,396,2020-03-01T12:06:22
16-138,686,2020-03-01T12:06:26
15-106,865,2020-03-01T12:06:26
15-119,561,2020-03-01T12:06:26
16-160,864,2020-03-01T12:06:27
14-118,645,2020-03-01T12:06:27
16-144,942,2020-03-01T12:06:28
14-188,110,2020-03-01T12:06:28
15-194,100,2020-03-01T12:06:28
14-143,139,2020-03-01T12:06:32
14-165,490,2020-03-01T12:06:32
15-174,491,2020-03-01T12:06:32
16-114,478,2020-03-01T12:06:36
15-105,595,2020-03-01T12:06:39
16-174,723,2020-03-01T12:06:40
16-109,932,2020-03-01T12:06:41
15-149,954,2020-03-01T12:06:44
15-136,840,2020-03-01T12:06:44
15-173,936,2020-03-01T12:06:47
16-102,398,2020-03-01T12:06:50
15-118,648,2020-03-01T12:06:54
15-154,656,2020-03-01T12:06:54
15-157,324,2020-03-01T12:06:58
15-109,576,2020-03-01T12:07:00
16-167,897,2020-03-01T12:07:00
14-152,662,2020-03-01T12:07:03
14-184,513,2020-03-01T12:07:05
16-151,116,2020-03-01T12:07:05
16-122,484,2020-03-01T12:07:08
15-169,398,2020-03-01T12:07:11
16-103,698,2020-03-01T12:07:13
15-181,350,2020-03-01T12:07:15
15-179,195,2020-03-01T12:07:16
15-131,380,2020-03-01T12:07:16
15-104,316,2020-03-01T12:07:19
15-146,156,2020-03-01T12:07:21
14-128,609,2020-03-01T12:07:21
15-143,791,2020-03-01T12:07:22
16-140,532,2020-03-01T12:07:22
14-171,210,2020-03-01T12:07:26
16-194,589,2020-03-01T12:07:26
15-194,828,2020-03-01T12:07:29
15-183,893,2020-03-01T12:07:31
16-105,821,2020-03-01T12:07:35
14-185,606,2020-03-01T12:07:36
16-193,427,2020-03-01T12:07:40
14-104,452,2020-03-01T12:07:44
14-153,356,2020-03-01T12:07:48
16-181,456,2020-03-01T12:07:48
14-162,365,2020-03-01T12:07:50
16-111,133,2020-03-01T12:07:52
16-191,166,2020-03-01T12:07:56
16-193,663,2020-03-01T12:08:00
14-194,777,2020-03-01T12:08:00
14-185,496,2020-03-01T12:08:01
15-184,714,2020-03-01T12:08:03
16-187,842,2020-03-01T12:08:06
14-178,417,2020-03-01T12:08:07
15-138,534,2020-03-01T12:08:08
16-149,120,2020-03-01T12:08:08
15-156,938,2020-03-01T12:08:09
15-137,165,2020-03-01T12:08:09
15-184,485,2020-03-01T12:08:13
15-175,587,2020-03-01T12:08:14
16-140,559,2020-03-01T12:08:18
15-195,359,2020-03-01T12:08:19
14-189,512,2020-03-01T12:08:22
14-135,658,2020-03-01T12:08:22
15-131,147,2020-03-01T12:08:24
16-197,735,2020-03-01T12:08:24
15-176,141,2020-03-01T12:08:24
15-100,772,2020-03-01T12:08:24
15-138,747,2020-03-01T12:08:24
14-164,652,2020-03-01T12:08:27
15-191,195,2020-03-01T12:08:27
14-157,357,2020-03-01T12:08:30
15-110,324,2020-03-01T12:08:30
16-135,337,2020-03-01T12:08:34
15-176,402,2020-03-01T12:08:38
15-127,325,2020-03-01T12:08:38
14-141,388,2020-03-01T12:08:39
15-132,559,2020-03-01T12:08:39
15-196,176,2020-03-01T12:08:41
16-152,552,2020-03-01T12:08:44
14-190,686,2020-03-01T12:08:47
16-111,199,2020-03-01T12:08:51
16-178,522,2020-03-01T12:08:51
15-101,746,2020-03-01T12:08:52
14-159,339,2020-03-01T12:08:54
15-100,543,2020-03-01T12:08:56
15-193,226,2020-03-01T12:08:59
14-198,336,2020-03-01T12:08:59
15-111,220,2020-03-01T12:09:01
16-100,505,2020-03-01T12:09:04
15-144,616,2020-03-01T12:09:08
14-193,597,2020-03-01T12:09:12
16-171,800,2020-03-01T12:09:13
16-163,793,2020-03-01T12:09:15
14-179,718,2020-03-01T12:09:16
16-107,347,2020-03-01T12:09:17
14-184,228,2020-03-01T12:09:20
14-119,991,2020-03-01T12:09:24
16-116,821,2020-03-01T12:09:28
16-170,887,2020-03-01T12:09:30
15-192,135,2020-03-01T12:09:32
14-182,470,2020-03-01T12:09:34
16-118,984,2020-03-01T12:09:37
16-137,949,2020-03-01T12:09:39
15-119,368,2020-03-01T12:09:43
16-108,261,2020-03-01T12:09:46
14-181,506,2020-03-01T12:09:50
16-179,445,2020-03-01T12:09:52
15-152,436,2020-03-01T12:09:52
14-138,566,2020-03-01T12:09:52
14-142,292,2020-03-01T12:09:55
15-159,862,2020-03-01T12:09:59
14-146,415,2020-03-01T12:10:01
16-119,412,2020-03-01T12:10:01
14-146,188,2020-03-01T12:10:05
14-107,524,2020-03-01T12:10:05
15-169,661,2020-03-01T12:10:06
14-101,451,2020-03-01T12:10:09
16-156,802,2020-03-01T12:10:11
16-192,952,2020-03-01T12:10:12
15-101,544,2020-03-01T12:10:13
16-121,570,2020-03-01T12:10:15
16-141,311,2020-03-01T12:10:15
15-169,467,2020-03-01T12:10:16
15-130,934,2020-03-01T12:10:17
14-112,695,2020-03-01T12:10:17
15-113,910,2020-03-01T12:10:21
14-192,509,2020-03-01T12:10:24
15-129,859,2020-03-01T12:10:25
16-151,439,2020-03-01T12:10:26
14-136,329,2020-03-01T12:10:30
15-125,956,2020-03-01T12:10:31
16-130,707,2020-03-01T12:10:31
15-111,289,2020-03-01T12:10:35
14-119,426,2020-03-01T12:10:37
15-108,680,2020-03-01T12:10:39
14-103,672,2020-03-01T12:10:41
15-167,510,2020-03-01T12:10:45
14-188,510,2020-03-01T12:10:45
16-180,510,2020-03-01T12:10:45
16-158,510,2020-03-01T12:10:45
16-125,510,2020-03-01T12:10:45
14-191,510,2020-03-01T12:10:45
15-166,510,2020-03-01T12:10:45
16-180,510,2020-03-01T12:10:45
15-174,510,2020-03-01T12:10:45
16-156,510,2020-03-01T12:10:45
16-185,510,2020-03-01T12:10:45
16-116,510,2020-03-01T12:10:45
16-134,510,2020-03-01T12:10:45
15-163,510,2020-03-01T12:10:45
14-197,510,2020-03-01T12:10:45
14-180,510,2020-03-01T12:10:45
14-146,510,2020-03-01T12:10:45
14-152,510,2020-03-01T12:10:45
14-125,510,2020-03-01T12:10:45
16-114,510,2020-03-01T12:10:45
16-133,510,2020-03-01T12:10:45
16-195,510,2020-03-01T12:10:45
16-179,510,2020-03-01T12:10:45
14-143,510,2020-03-01T12:10:45
16-109,510,2020-03-01T12:10:45
16-145,510,2020-03-01T12:10:45
15-145,510,2020-03-01T12:10:45
16-133,510,2020-03-01T12:10:45
15-172,510,2020-03-01T12:10:45
15-188,510,2020-03-01T12:10:45
14-128,510,2020-03-01T12:10:45
14-191,510,2020-03-01T12:10:45
16-169,510,2020-03-01T12:10:45
15-146,510,2020-03-01T12:10:45
14-149,510,2020-03-01T12:10:45
16-197,510,2020-03-01T12:10:45
14-189,510,2020-03-01T12:10:45
14-137,510,2020-03-01T12:10:45
15-198,510,2020-03-01T12:10:45
14-151,510,2020-03-01T12:10:45
14-163,510,2020-03-01T12:10:45
15-196,510,2020-03-01T12:10:45
16-111,510,2020-03-01T12:10:45
15-194,510,2020-03-01T12:10:45
16-195,510,2020-03-01T12:10:45
16-190,510,2020-03-01T12:10:45
16-128,510,2020-03-01T12:10:45
14-174,510,2020-03-01T12:10:45
16-114,510,2020-03-01T12:10:45
15-178,510,2020-03-01T12:10:45
16-169,510,2020-03-01T12:10:45
15-157,510,2020-03-01T12:10:45
14-133,510,2020-03-01T12:10:45
15-122,510,2020-03-01T12:10:45
14-107,510,2020-03-01T12:10:45
14-197,510,2020-03-01T12:10:45
16-197,510,2020-03-01T12:10:45
16-184,510,2020-03-01T12:10:45
15-134,510,2020-03-01T12:10:45
15-167,510,2020-03-01T12:10:45
14-148,510,2020-03-01T12:10:45
15-129,510,2020-03-01T12:10:45
16-151,510,2020-03-01T12:10:45
16-179,510,2020-03-01T12:10:45
15-107,510,2020-03-01T12:10:45
15-133,510,2020-03-01T12:10:45
15-177,510,2020-03-01T12:10:45
14-176,510,2020-03-01T12:10:45
14-157,510,2020-03-01T12:10:45
15-104,510,2020-03-01T12:10:45
16-186,510,2020-03-01T12:10:45
15-186,510,2020-03-01T12:10:45
15-145,510,2020-03-01T12:10:45
16-191,510,2020-03-01T12:10:45
16-192,510,2020-03-01T12:10:45
16-132,510,2020-03-01T12:10:45
16-167,510,2020-03-01T12:10:45
16-145,510,2020-03-01T12:10:45
15-180,510,2020-03-01T12:10:45
14-192,510,2020-03-01T12:10:45
15-188,510,2020-03-01T12:10:45
16-151,510,2020-03-01T12:10:45
14-142,510,2020-03-01T12:10:45
16-175,510,2020-03-01T12:10:45
16-104,510,2020-03-01T12:10:45
16-127,510,2020-03-01T12:10:45
15-193,510,2020-03-01T12:10:45
15-154,510,2020-03-01T12:10:45
14-158,510,2020-03-01T12:10:45
14-173,510,2020-03-01T12:10:45
16-141,510,2020-03-01T12:10:45
16-140,510,2020-03-01T12:10:45
14-134,510,2020-03-01T12:10:45
14-186,510,2020-03-01T12:10:45
14-198,510,2020-03-01T12:10:45
15-132,510,2020-03-01T12:10:45
14-163,510,2020-03-01T12:10:45
15-106,510,2020-03-01T12:10:45
15-140,510,2020-03-01T12:10:45
16-154,510,2020-03-01T12:10:45
14-136,510,2020-03-01T12:10:45
15-136,434,2020-03-01T12:10:49
14-148,136,2020-03-01T12:10:51
14-144,465,2020-03-01T12:10:54
16-101,862,2020-03-01T12:10:55
16-173,525,2020-03-01T12:10:55
16-178,978,2020-03-01T12:10:59
16-144,100,2020-03-01T12:11:00
15-102,298,2020-03-01T12:11:01
14-120,935,2020-03-01T12:11:04
16-108,600,2020-03-01T12:11:08
15-150,838,2020-03-01T12:11:09
14-158,858,2020-03-01T12:11:11
15-111,964,2020-03-01T12:11:13
14-136,894,2020-03-01T12:11:13
14-181,947,2020-03-01T12:11:16
16-101,862,2020-03-01T12:11:16
14-110,556,2020-03-01T12:11:19
15-169,993,2020-03-01T12:11:21
16-103,281,2020-03-01T12:11:23
16-169,350,2020-03-01T12:11:24
16-131,119,2020-03-01T12:11:24
16-127,165,2020-03-01T12:11:26
16-143,890,2020-03-01T12:11:26
14-119,777,2020-03-01T12:11:26
14-176,759,2020-03-01T12:11:26
15-116,509,2020-03-01T12:11:26
16-125,133,2020-03-01T12:11:30
15-104,824,2020-03-01T12:11:30
14-185,664,2020-03-01T12:11:30
15-184,546,2020-03-01T12:11:32
14-115,365,2020-03-01T12:11:34
16-135,770,2020-03-01T12:11:37
14-145,869,2020-03-01T12:11:41
14-101,269,2020-03-01T12:11:42
14-147,915,2020-03-01T12:11:46
15-138,277,2020-03-01T12:11:48
14-194,798,2020-03-01T12:11:50
15-116,782,2020-03-01T12:11:50
16-129,210,2020-03-01T12:11:54
16-181,883,2020-03-01T12:11:57
15-192,936,2020-03-01T12:11:59
14-175,974,2020-03-01T12:12:02
14-191,425,2020-03-01T12:12:05
15-115,655,2020-03-01T12:12:08
16-111,146,2020-03-01T12:12:10
16-130,513,2020-03-01T12:12:12
14-171,281,2020-03-01T12:12:13
15-115,815,2020-03-01T12:12:14
16-119,333,2020-03-01T12:12:18
15-131,296,2020-03-01T12:12:18
14-135,818,2020-03-01T12:12:18
16-135,965,2020-03-01T12:12:20
14-138,721,2020-03-01T12:12:24
16-113,933,2020-03-01T12:12:25
16-187,271,2020-03-01T12:12:27
16-161,362,2020-03-01T12:12:31
15-162,531,2020-03-01T12:12:35
14-171,952,2020-03-01T12:12:38
14-132,667,2020-03-01T12:12:38
16-133,759,2020-03-01T12:12:40
14-136,435,2020-03-01T12:12:40
14-163,923,2020-03-01T12:12:41
15-179,984,2020-03-01T12:12:43
16-138,396,2020-03-01T12:12:46
14-126,144,2020-03-01T12:12:48
16-118,281,2020-03-01T12:12:49
16-142,140,2020-03-01T12:12:51
16-188,791,2020-03-01T12:12:53
15-138,409,2020-03-01T12:12:57
16-162,752,2020-03-01T12:12:59
16-179,490,2020-03-01T12:13:02
14-138,429,2020-03-01T12:13:03
15-143,649,2020-03-01T12:13:06
16-128,814,2020-03-01T12:13:06
14-157,860,2020-03-01T12:13:06
15-122,300,2020-03-01T12:13:06
16-109,684,2020-03-01T12:13:08
14-156,849,2020-03-01T12:13:08
16-137,971,2020-03-01T12:13:12
16-163,359,2020-03-01T12:13:13
15-172,377,2020-03-01T12:13:17
14-170,179,2020-03-01T12:13:21
15-164,560,2020-03-01T12:13:25
15-118,199,2020-03-01T12:13:26
15-185,118,2020-03-01T12:13:29
15-194,992,2020-03-01T12:13:29
16-180,848,2020-03-01T12:13:30
16-104,618,2020-03-01T12:13:32
15-102,367,2020-03-01T12:13:36
16-191,837,2020-03-01T12:13:37
16-141,714,2020-03-01T12:13:38
14-171,184,2020-03-01T12:13:38
16-197,490,2020-03-01T12:13:41
16-129,921,2020-03-01T12:13:41
15-149,815,2020-03-01T12:13:42
16-171,642,2020-03-01T12:13:42
15-155,533,2020-03-01T12:13:43
14-159,954,2020-03-01T12:13:43
15-100,204,2020-03-01T12:13:45
15-194,781,2020-03-01T12:13:45
16-170,251,2020-03-01T12:13:49
16-197,571,2020-03-01T12:13:51
15-135,257,2020-03-01T12:13:51
15-121,892,2020-03-01T12:13:55
15-130,296,2020-03-01T12:13:59
14-181,945,2020-03-01T12:13:59
14-137,493,2020-03-01T12:14:00
16-126,435,2020-03-01T12:14:02
15-180,291,2020-03-01T12:14:04
14-113,307,2020-03-01T12:14:07
15-140,566,2020-03-01T12:14:10
15-191,716,2020-03-01T12:14:13
16-165,419,2020-03-01T12:14:14
14-122,717,2020-03-01T12:14:16
14-124,762,2020-03-01T12:14:17
15-170,950,2020-03-01T12:14:17
15-163,463,2020-03-01T12:14:19
14-149,376,2020-03-01T12:14:21
16-185,730,2020-03-01T12:14:22
15-130,334,2020-03-01T12:14:25
14-100,554,2020-03-01T12:14:26
14-154,601,2020-03-01T12:14:26
14-135,726,2020-03-01T12:14:29
16-143,462,2020-03-01T12:14:29
16-146,243,2020-03-01T12:14:32
16-174,512,2020-03-01T12:14:34
14-164,649,2020-03-01T12:14:36
14-133,989,2020-03-01T12:14:39
16-112,600,2020-03-01T12:14:39
15-185,112,2020-03-01T12:14:43
16-196,843,2020-03-01T12:14:45
15-168,357,2020-03-01T12:14:48
16-159,218,2020-03-01T12:14:49
16-180,995,2020-03-01T12:14:51
15-146,765,2020-03-01T12:14:51
14-181,928,2020-03-01T12:14:51
14-107,244,2020-03-01T12:14:51
16-188,893,2020-03-01T12:14:51
14-117,662,2020-03-01T12:14:55
16-147,744,2020-03-01T12:14:58
15-190,992,2020-03-01T12:15:00
14-104,506,2020-03-01T12:15:00
15-114,441,2020-03-01T12:15:01
16-152,767,2020-03-01T12:15:03
16-141,505,2020-03-01T12:15:04
16-192,441,2020-03-01T12:15:06
16-159,334,2020-03-01T12:15:06
16-144,300,2020-03-01T12:15:06
15-104,838,2020-03-01T12:15:10
15-121,815,2020-03-01T12:15:14
16-183,827,2020-03-01T12:15:17
14-171,284,2020-03-01T12:15:21
15-164,941,2020-03-01T12:15:23
15-110,858,2020-03-01T12:15:25
14-168,125,2020-03-01T12:15:27
15-192,368,2020-03-01T12:15:30
15-106,603,2020-03-01T12:15:32
14-133,566,2020-03-01T12:15:32
15-197,258,2020-03-01T12:15:32
16-153,258,2020-03-01T12:15:32
15-198,792,2020-03-01T12:15:34
16-106,194,2020-03-01T12:15:34
14-116,513,2020-03-01T12:15:36
14-176,566,2020-03-01T12:15:40
15-165,621,2020-03-01T12:15:41
15-157,210,2020-03-01T12:15:42
15-179,723,2020-03-01T12:15:46
16-112,519,2020-03-01T12:15:47
15-101,578,2020-03-01T12:15:48
14-194,682,2020-03-01T12:15:51
16-142,597,2020-03-01T12:15:52
15-168,723,2020-03-01T12:15:56
15-158,887,2020-03-01T12:15:59
14-194,602,2020-03-01T12:16:00
16-101,371,2020-03-01T12:16:04
14-148,985,2020-03-01T12:16:04
15-153,509,2020-03-01T12:16:07
15-180,914,2020-03-01T12:16:07
16-169,269,2020-03-01T12:16:08
16-129,444,2020-03-01T12:16:12
14-158,660,2020-03-01T12:16:15
14-165,645,2020-03-01T12:16:16
14-156,603,2020-03-01T12:16:17
14-101,731,2020-03-01T12:16:19
15-141,843,2020-03-01T12:16:22
15-161,698,2020-03-01T12:16:26
14-103,305,2020-03-01T12:16:26
15-182,573,2020-03-01T12:16:29
16-185,825,2020-03-01T12:16:33
16-125,672,2020-03-01T12:16:36
15-107,230,2020-03-01T12:16:40
15-120,815,2020-03-01T12:16:40
15-140,541,2020-03-01T12:16:40
16-137,338,2020-03-01T12:16:41
15-112,679,2020-03-01T12:16:41
15-132,569,2020-03-01T12:16:41
15-104,163,2020-03-01T12:16:45
14-124,804,2020-03-01T12:16:45
15-184,914,2020-03-01T12:16:49
16-132,563,2020-03-01T12:16:50
16-108,986,2020-03-01T12:16:50
14-175,760,2020-03-01T12:16:54
16-107,353,2020-03-01T12:16:55
14-197,188,2020-03-01T12:16:56
15-148,899,2020-03-01T12:16:59
16-136,719,2020-03-01T12:16:59
15-159,377,2020-03-01T12:17:02
16-118,959,2020-03-01T12:17:05
14-118,100,2020-03-01T12:17:05
14-123,608,2020-03-01T12:17:09
16-166,515,2020-03-01T12:17:11
14-185,529,2020-03-01T12:17:13
15-111,767,2020-03-01T12:17:14
15-190,594,2020-03-01T12:17:15
15-134,713,2020-03-01T12:17:16
14-105,859,2020-03-01T12:17:16
16-147,306,2020-03-01T12:17:17
16-141,608,2020-03-01T12:17:20
16-188,900,2020-03-01T12:17:24
14-184,875,2020-03-01T12:17:28
14-190,504,2020-03-01T12:17:28
16-131,414,2020-03-01T12:17:31
14-151,190,2020-03-01T12:17:33
14-130,729,2020-03-01T12:17:33
16-124,731,2020-03-01T12:17:37
15-148,248,2020-03-01T12:17:40
16-110,553,2020-03-01T12:17:42
15-176,555,2020-03-01T12:17:42
15-138,978,2020-03-01T12:17:46
15-193,260,2020-03-01T12:17:46
14-109,896,2020-03-01T12:17:49
14-156,555,2020-03-01T12:17:50
16-176,754,2020-03-01T12:17:54
14-138,407,2020-03-01T12:17:58
14-193,276,2020-03-01T12:18:01
14-157,341,2020-03-01T12:18:01
16-171,222,2020-03-01T12:18:05
16-118,613,2020-03-01T12:18:09
16-171,369,2020-03-01T12:18:09
14-172,859,2020-03-01T12:18:10
16-164,990,2020-03-01T12:18:14
15-103,897,2020-03-01T12:18:16
14-167,423,2020-03-01T12:18:16
16-161,124,2020-03-01T12:18:19
15-162,145,2020-03-01T12:18:21
16-174,340,2020-03-01T12:18:22
15-103,858,2020-03-01T12:18:23
16-127,665,2020-03-01T12:18:24
15-188,931,2020-03-01T12:18:24
14-185,856,2020-03-01T12:18:28
15-163,258,2020-03-01T12:18:29
16-128,356,2020-03-01T12:18:30
15-153,768,2020-03-01T12:18:30
15-151,601,2020-03-01T12:18:32
15-181,605,2020-03-01T12:18:35
16-118,651,2020-03-01T12:18:39
16-121,664,2020-03-01T12:18:41
16-160,177,2020-03-01T12:18:45
16-172,847,2020-03-01T12:18:48
14-133,511,2020-03-01T12:18:49
15-139,939,2020-03-01T12:18:51
15-148,624,2020-03-01T12:18:54
14-100,508,2020-03-01T12:18:56
15-167,221,2020-03-01T12:19:00
16-153,892,2020-03-01T12:19:01
14-129,126,2020-03-01T12:19:01
16-118,589,2020-03-01T12:19:01
15-197,347,2020-03-01T12:19:02
14-192,135,2020-03-01T12:19:06
15-169,788,2020-03-01T12:19:10
15-115,263,2020-03-01T12:19:13
14-123,440,2020-03-01T12:19:17
14-138,193,2020-03-01T12:19:18
15-135,926,2020-03-01T12:19:18
15-157,128,2020-03-01T12:19:20
14-114,222,2020-03-01T12:19:23
16-137,110,2020-03-01T12:19:23
14-115,147,2020-03-01T12:19:27
15-144,415,2020-03-01T12:19:30
14-111,152,2020-03-01T12:19:33
14-100,834,2020-03-01T12:19:37
16-127,599,2020-03-01T12:19:40
15-119,398,2020-03-01T12:19:43
16-180,901,2020-03-01T12:19:46
14-192,559,2020-03-01T12:19:50
15-136,581,2020-03-01T12:19:51
15-191,193,2020-03-01T12:19:54
15-117,471,2020-03-01T12:19:56
14-125,131,2020-03-01T12:19:57
16-185,595,2020-03-01T12:20:00
16-108,441,2020-03-01T12:20:03
14-189,409,2020-03-01T12:20:06
14-140,404,2020-03-01T12:20:08
15-106,978,2020-03-01T12:20:12
14-106,788,2020-03-01T12:20:16
15-160,127,2020-03-01T12:20:16
15-180,882,2020-03-01T12:20:18
16-186,763,2020-03-01T12:20:19
16-118,689,2020-03-01T12:20:20
14-174,564,2020-03-01T12:20:23
15-142,147,2020-03-01T12:20:26
